Department of Water and Sanitation          SAFMAXLEVELFLOW Output 2026/08/09 01:20

Monthly Maximum Values  ordered by  DATE

W1H004   Mlalazi River @ Eshowe

Hydro,,MAX,MAX,MAX
Year,Date,Time,Level (m),Flow (cumec)
    ,19880711, 06:54,  0.165,         ,Z
    ,19880819, 02:54,  0.092,         ,Z
    ,19880906, 00:12,  0.040,         ,Z
1989,19881018, 10:54,  0.140,         ,Z
    ,19881130, 03:00,  0.076,         ,Z
    ,19881225, 18:12,  0.170,         ,Z
    ,19890101, 00:00,  0.101,         ,Z
    ,19890207, 15:30,  0.165,         ,Z
    ,19890308, 11:54,  0.059,         ,M
    ,19890401, 00:00,       ,         ,M
    ,19890501, 00:00,       ,         ,M
    ,19890601, 00:00,       ,         ,M
    ,19890701, 00:00,       ,         ,M
    ,19890829, 23:54,  0.000,         ,M
    ,19890901, 00:00,  0.000,         ,Z
1990,19891031, 23:59,  0.000,    0.000,
    ,19891130, 23:59,  0.494,    5.538,
    ,19891203, 22:18,  0.839,   22.230,
    ,19900101, 00:00,  0.161,    0.364,
    ,19900207, 15:48,  0.098,    0.159,
    ,19900326, 04:12,  0.240,    1.047,
    ,19900407, 04:42,  0.182,    0.513,
    ,19900501, 00:00,  0.030,    0.025,
    ,19900626, 12:06,  0.010,    0.003,
    ,19900729, 11:00,  0.011,    0.004,
    ,19900830, 17:12,  0.054,    0.065,
    ,19900912, 01:00,  0.029,    0.024,
1991,19901020, 22:24,  0.214,    0.785,
    ,19901116, 14:48,  0.059,    0.074,
    ,19901219, 06:30,  0.258,    1.250,
    ,19910125, 06:00,  0.202,    0.677,
    ,19910216, 09:42,  0.666,   12.120,
    ,19910320, 01:54,  0.315,    2.009,
    ,19910401, 00:00,  0.176,    0.471,
    ,19910513, 18:24,  0.173,    0.447,
    ,19910611, 13:24,  0.075,    0.107,
    ,19910708, 00:42,  0.154,    0.322,
    ,19910801, 16:18,  0.026,    0.020,
    ,19910930, 23:59,  0.029,    0.025,
1992,19911011, 01:48,  0.150,    0.299,
    ,19911101, 00:00,  0.108,    0.187,
    ,19911210, 06:30,  0.052,    0.061,
    ,19920120, 18:18,  0.019,    0.011,
    ,19920222, 17:48,  0.032,    0.028,
    ,19920302, 13:24,  0.024,    0.017,
    ,19920412, 20:06,  0.006,    0.002,
    ,19920501, 00:00,  0.000,    0.000,
    ,19920613, 20:48,  0.010,    0.003,
    ,19920719, 09:48,  0.011,    0.004,
    ,19920804, 21:12,  0.010,    0.003,
    ,19920923, 06:48,  0.021,    0.014,
1993,19921024, 17:54,  0.036,    0.034,
    ,19921112, 16:00,  0.120,    0.215,
    ,19921210, 00:12,  0.027,    0.021,
    ,19930110, 01:18,  0.039,    0.039,
    ,19930201, 00:00,  0.000,    0.000,
    ,19930301, 00:00,  0.000,    0.000,
    ,19930401, 00:00,  0.000,    0.000,
    ,19930501, 00:00,  0.000,    0.000,
    ,19930601, 00:00,  0.000,    0.000,
    ,19930701, 00:00,  0.000,    0.000,
    ,19930801, 00:00,  0.000,    0.000,
    ,19930924, 19:00,  0.031,    0.027,
1994,19931006, 15:18,  0.040,    0.040,
    ,19931101, 00:00,  0.000,    0.000,
    ,19931228, 18:48,  0.387,    3.217,
    ,19940123, 11:00,  0.206,    0.712,
    ,19940208, 07:24,  0.067,    0.090,
    ,19940309, 20:00,  0.024,    0.017,
    ,19940420, 13:48,  0.013,    0.005,
    ,19940503, 10:00,  0.010,    0.003,
    ,19940622, 08:30,  0.030,    0.025,
    ,19940726, 00:24,  0.017,    0.009,
    ,19940823, 08:24,  0.033,    0.030,
    ,19940928, 19:18,  0.008,    0.002,
1995,19941014, 08:18,  0.059,    0.074,
    ,19941121, 20:06,  0.077,    0.111,
    ,19941212, 10:48,  0.011,    0.004,
    ,19950130, 19:12,  0.005,    0.002,
    ,19950221, 00:42,  0.020,    0.013,
    ,19950301, 00:00,  0.000,    0.000,
    ,19950410, 00:24,  0.036,    0.034,
    ,19950504, 02:12,  0.015,    0.007,
    ,19950618, 01:30,  0.015,    0.007,
    ,19950701, 00:00,  0.000,    0.000,
    ,19950811, 11:18,  0.010,    0.003,
    ,19950918, 04:24,  0.014,    0.006,
1996,19951023, 13:18,  0.051,    0.059,
    ,19951125, 18:30,  0.027,    0.021,
    ,19951227, 23:36,  0.406,    3.581,
    ,19960127, 06:42,  0.505,    5.866,
    ,19960214, 15:18,  0.602,    9.298,
    ,19960304, 14:54,  0.506,    5.897,
    ,19960404, 12:00,  0.179,    0.491,
    ,19960507, 05:48,  0.103,    0.171,
    ,19960608, 08:54,  0.037,    0.036,
    ,19960709, 04:54,  0.214,    0.785,
    ,19960806, 10:12,  0.077,    0.111,
    ,19960909, 16:48,  0.015,    0.007,
1997,19961022, 18:12,  0.018,    0.010,
    ,19961116, 21:48,  0.017,    0.009,
    ,19961217, 23:30,  0.021,    0.014,
